|  time  | address  | load |  in   |  out  |
| 85     |    14263 |    0 | 17603 |     0 |
| 85+    |    13186 |    1 | 14514 |     0 |
| 86     |    13186 |    1 | 14514 | 14514 |
| 86+    |    11432 |    1 | 29402 |     0 |
| 87     |    11432 |    1 | 29402 | 29402 |
| 87+    |     8028 |    0 | 29402 |     0 |
| 88     |     8028 |    0 | 29402 |     0 |
| 88+    |     9158 |    1 | 18338 |     0 |
| 89     |     9158 |    1 | 18338 | 18338 |
| 89+    |    18990 |    0 | 18338 |     0 |
| 90     |    18990 |    0 | 18338 |     0 |
| 90+    |      483 |    1 | 20951 |     0 |
| 91     |      483 |    1 | 20951 | 20951 |
| 91+    |      524 |    0 | 20951 |     0 |
| 92     |      524 |    0 | 20951 |     0 |
| 92+    |    13977 |    0 | 20951 |     0 |
| 93     |    13977 |    0 | 20951 |     0 |
| 93+    |    28093 |    1 | 16935 |     0 |
| 94     |    28093 |    1 | 16935 | 16935 |
| 94+    |    16927 |    0 | 16935 |     0 |
| 95     |    16927 |    0 | 16935 |     0 |
| 95+    |    30102 |    0 | 16935 |     0 |
| 96     |    30102 |    0 | 16935 |     0 |
| 96+    |    23068 |    1 |  4938 |     0 |
| 97     |    23068 |    1 |  4938 |  4938 |
| 97+    |    23472 |    1 | 21114 |     0 |
| 98     |    23472 |    1 | 21114 | 21114 |
| 98+    |    29864 |    1 | 17870 |     0 |
| 99     |    29864 |    1 | 17870 | 17870 |
| 99+    |    23238 |    1 |  8198 |     0 |
| 100    |    23238 |    1 |  8198 |  8198 |
| 100+   |    29991 |    1 |  6440 |     0 |
| 101    |    29991 |    1 |  6440 |  6440 |
| 101+   |    13427 |    0 |  6440 |     0 |
| 102    |    13427 |    0 |  6440 |     0 |
| 102+   |    29980 |    1 | 23176 |     0 |
| 103    |    29980 |    1 | 23176 | 23176 |
| 103+   |     6368 |    0 | 23176 |     0 |
| 104    |     6368 |    0 | 23176 |     0 |
| 104+   |     6382 |    0 | 23176 |     0 |
| 105    |     6382 |    0 | 23176 |     0 |
| 105+   |    26246 |    1 | 29710 |     0 |
| 106    |    26246 |    1 | 29710 | 29710 |
| 106+   |    26990 |    1 | 22559 |     0 |
| 107    |    26990 |    1 | 22559 | 22559 |
| 107+   |     6857 |    1 | 31817 |     0 |
| 108    |     6857 |    1 | 31817 | 31817 |
| 108+   |     6047 |    0 | 31817 |     0 |
| 109    |     6047 |    0 | 31817 |     0 |
| 109+   |     2141 |    0 | 31817 |     0 |
| 110    |     2141 |    0 | 31817 |     0 |
| 110+   |    17610 |    0 | 31817 |     0 |
| 111    |    17610 |    0 | 31817 |     0 |
| 111+   |    30077 |    1 | 25678 |     0 |
| 112    |    30077 |    1 | 25678 | 25678 |
| 112+   |    21878 |    1 |  7311 |     0 |
| 113    |    21878 |    1 |  7311 |  7311 |
| 113+   |     6711 |    0 |  7311 |     0 |
| 114    |     6711 |    0 |  7311 |     0 |
| 114+   |     5244 |    1 | 26362 |     0 |
| 115    |     5244 |    1 | 26362 | 26362 |
| 115+   |    23155 |    1 |  8343 |     0 |
| 116    |    23155 |    1 |  8343 |  8343 |
| 116+   |    12655 |    1 | 30288 |     0 |
| 117    |    12655 |    1 | 30288 | 30288 |
| 117+   |      862 |    0 | 30288 |     0 |
| 118    |      862 |    0 | 30288 |     0 |
| 118+   |     9792 |    1 | 19649 |     0 |
| 119    |     9792 |    1 | 19649 | 19649 |
| 119+   |    19709 |    0 | 19649 |     0 |
