| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 67   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 68   |       5 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 69   |       5 |      -1 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 70   |      20 |      -1 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 71   |      20 |      -1 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 72   |      16 |      -1 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 73   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 74   |      18 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 75   |      22 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 76   |      22 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 77   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 78   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 79   |       5 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 80   |       5 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 81   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 82   |      16 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 83   |       5 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 84   |       5 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 85   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 86   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 87   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 88   |      16 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 89   |      18 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 90   |      23 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |          0 |          0 |
| 91   |      23 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 92   |      16 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          5 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 93   |      16 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 94   |      16 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 95   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 96   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
