| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 61   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 62   |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 63   |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 64   |      19 |       6 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 65   |      14 |       6 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 66   |      14 |       6 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 67   |      19 |       6 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 68   |      19 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 69   |      20 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 70   |      24 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 71   |      24 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 72   |      19 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 73   |      19 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 74   |      16 |       4 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 75   |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 76   |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 77   |      19 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 78   |      14 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
| 79   |      14 |       5 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          5 |          0 |          1 |          2 |          3 |          4 |          0 |          0 |
