| time | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] | RAM16K[27] | RAM16K[28] | RAM16K[29] | RAM16K[30] | RAM16K[31] | RAM16K[32] | RAM16K[33] | RAM16K[34] |
| 47   |         35 |          6 |          0 |        103 |          0 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 48   |         35 |          6 |          0 |        103 |          0 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 49   |         35 |          6 |          0 |        103 |          0 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 50   |         35 |          6 |          0 |        103 |          0 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 51   |         35 |          6 |          0 |        103 |          0 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 52   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 53   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 54   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 55   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 56   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 57   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 58   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 59   |         35 |          6 |          0 |        103 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 60   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 61   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 62   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 63   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 64   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 65   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 66   |         35 |          6 |          0 |        104 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 67   |         35 |          6 |          0 |        105 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 68   |         35 |          6 |          0 |        105 |         35 |          6 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
